stock,year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
EN,1994,11.58049,16.13744,20.13534,23.64277,26.7199,29.41953,31.78796,33.86583,35.68879,37.2881,38.69121,39.92218,41.00213,41.9496,42.78082,43.51008,44.14986,44.71116,45.20359,50.6429
EN,1995,12.05408,16.26368,20.00773,23.3377,26.2994,28.93355,31.27638,33.3601,35.21338,36.86169,38.32771,39.6316,40.79128,41.82271,42.74007,43.55597,44.28164,44.92705,45.50109,53.0922
EN,1996,11.76322,16.21477,20.13502,23.58738,26.62769,29.30513,31.66301,33.73947,35.5681,37.17847,38.59665,39.84556,40.94541,41.91399,42.76697,43.51814,44.17966,44.76223,45.27526,51.3611
EN,1997,11.73852,16.15181,20.06703,23.5404,26.62178,29.3554,31.78052,33.93195,35.84057,37.5338,39.03594,40.36855,41.55077,42.59956,43.53,44.35543,45.0877,45.73734,46.31365,49.46674
EN,1998,11.96102,16.1058,19.84237,23.21093,26.24773,28.98544,31.45352,33.67852,35.68438,37.49269,39.12291,40.59257,41.91748,43.11191,44.1887,45.15943,46.03457,46.82351,47.53475,51.017
EN,1999,12.65177,16.47499,19.91478,23.0096,25.79405,28.29925,30.5532,32.58111,34.40565,36.04721,37.52413,38.85294,40.04848,41.12413,42.0919,42.96261,43.746,44.45083,45.08497,50.25108
EN,2000,11.68427,16.20537,20.12908,23.53434,26.48966,29.05449,31.28042,33.21223,34.88878,36.34381,37.60659,38.70251,39.65362,40.47906,41.19544,41.81715,42.35672,42.825,43.2314,52.21334
EN,2001,12.02248,16.23147,19.96122,23.2663,26.19507,28.79037,31.09017,33.12811,34.93402,36.5343,37.95238,39.20899,40.32253,41.30928,42.18368,42.95852,43.64514,44.25358,44.79274,50.52683
EN,2002,11.45833,16.11792,20.15649,23.65682,26.69063,29.3201,31.59913,33.57441,35.28644,36.77029,38.05637,39.17105,40.13717,40.97453,41.70029,42.32932,42.87451,43.34704,43.7566,48.87584
EN,2003,12.15607,16.22944,19.88929,23.1776,26.1321,28.78667,31.17175,33.31471,35.24012,36.97007,38.52441,39.92095,41.17572,42.30311,43.31605,44.22616,45.04388,45.77859,46.43871,52.28428
EN,2004,12.27965,16.33383,19.96817,23.22613,26.1467,28.76481,31.11179,33.21572,35.10176,36.79249,38.30812,39.6668,40.88477,41.97661,42.95537,43.83278,44.61932,45.3244,45.95647,44.74285
EN,2005,11.81268,16.24276,20.16829,23.64673,26.72901,29.46025,31.88041,34.02495,35.92523,37.60909,39.10118,40.42333,41.59489,42.63303,43.55293,44.36806,45.09035,45.73038,46.29752,50.00578
EN,2006,11.39458,16.15108,20.22729,23.7205,26.7141,29.27955,31.47807,33.36215,34.97677,36.36046,37.54624,38.56243,39.43329,40.17959,40.81915,41.36724,41.83693,42.23946,42.58441,53.29026
EN,2007,12.01793,16.31133,20.03937,23.27651,26.08738,28.52812,30.64747,32.48774,34.08569,35.47322,36.67804,37.72422,38.63263,39.42142,40.10635,40.70108,41.21751,41.66593,42.0553,49.99528
EN,2008,12.47763,16.37534,19.85054,22.94902,25.71162,28.17475,30.37088,32.32894,34.07475,35.63131,37.01914,38.25652,39.35977,40.34343,41.22046,42.00241,42.6996,43.32122,43.87545,49.99387
EN,2009,12.61483,16.46307,19.91172,23.00226,25.77189,28.25393,30.47824,32.47158,34.25794,35.85881,37.29344,38.57911,39.73127,40.7638,41.68911,42.51833,43.26146,43.92742,44.52422,48.20687
EN,2010,12.7542,16.54789,19.90787,22.88374,25.5194,27.85374,29.92122,31.75234,33.37412,34.8105,36.08266,37.20939,38.20731,39.09114,39.87394,40.56724,41.18128,41.72513,42.2068,48.62197
EN,2011,12.3,16.4,20,23.2,26,28.4,30.6,32.5,34.2,35.6,36.9,38.1,39.1,40,40.7,41.4,42,42.6,43,50
HG,1989,11.2,15.1,18.8,22,25,27.8,30.2,32.5,34.6,36.5,38.2,39.8,41.2,42.5,43.7,44.8,45.9,46.8,47.7,53.6
HG,1990,12.3179,16.52417,20.39888,23.96818,27.25614,30.28492,33.07497,35.64509,38.01263,40.19356,42.20257,44.05323,45.75801,47.32842,48.77504,50.10763,51.33518,52.46598,53.50764,56.7945
HG,1991,11.32316,16.25511,20.67125,24.62552,28.16623,31.33664,34.17546,36.71738,38.99346,41.03149,42.85637,44.49039,45.95351,47.26362,48.43671,49.4871,50.42764,51.26982,52.02391,58.9497
HG,1992,7.8302,13.53867,18.57112,23.00759,26.91867,30.36658,33.40617,36.08579,38.44808,40.53061,42.36651,43.985,45.41182,46.66966,47.77855,48.75611,49.6179,50.37764,51.0474,53.3791
HG,1993,9.8755,14.23443,18.19417,21.79128,25.05896,28.02738,30.72395,33.17356,35.39884,37.42032,39.25667,40.92485,42.44026,43.81688,45.06743,46.20345,47.23544,48.17291,49.02453,54.031
HG,1994,10.51171,14.24176,17.70161,20.91082,23.88756,26.64866,29.20975,31.5853,33.78877,35.83262,37.72842,39.48687,41.11795,42.63087,44.03419,45.33586,46.54323,47.66314,48.70192,54.9595
HG,1995,10.81186,14.33991,17.65072,20.75769,23.67336,26.4095,28.97718,31.38676,33.64798,35.76998,37.76132,39.63005,41.38372,43.02941,44.57378,46.02306,47.3831,48.65941,49.85713,56.9626
