IBM
Call: ibm -r 
Seed: 123
Date: Sun Sep 23 21:21:57 2018
Version: 2018-09-18 21:34:21 UTC (rev. 562c05a)
Environment: machine:DESKTOP-D3MBM6L, user:Dell User, os:Windows_NT, pid:12988

*initialisation_partition[init_1]
ewuilibrium_shortcut: 1918
values {d}
row-col 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
1-1 45565 41739 39069 36376 33857 31043 29176 26888 25146 22942 21415 20111 18435 17025 15856 14686 13664 12856 11619 10936 140054
2-1 50365 46658 43098 40113 37289 34725 32194 29883 28019 25452 23871 22039 20538 19108 17707 16469 15287 14120 13080 12242 155594
3-1 12553 11454 10661 9876 9357 8739 8130 7353 6962 6237 5942 5376 5256 4664 4403 4065 3755 3546 3190 3115 39055
*end

*initialisation_partition[init_2]
year: 1988
values {d}
row-col 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
1-1 42425 39482 36512 33895 31274 29130 27090 25060 23259 21655 20028 18690 17490 16007 15006 13789 12696 11911 10930 10176 131727
2-1 46268 42910 39876 37143 34424 31751 29543 27493 25407 23757 21997 20381 18765 17366 16157 14957 14244 12993 11977 11043 143619
3-1 12065 11158 10342 9668 8900 8241 7717 7111 6676 6101 5573 5220 4789 4534 4253 3965 3555 3365 3100 2921 37118
*end

*age_frequency_by_cell[age_freq]
year: 1989
time_step: half_M
values {d}
row-col 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
1-1 42202 39321 36672 33677 31462 28974 26884 25023 23295 21594 20157 18535 17334 16035 14797 13975 12611 11874 10983 10151 131273
2-1 46587 43037 40021 37203 34502 32004 29573 27509 25469 23612 22005 20316 18917 17506 16133 14991 14042 13146 12141 11081 143952
3-1 11965 11151 10250 9546 8967 8253 7617 7150 6574 6187 5596 5252 4892 4497 4223 3939 3694 3351 3106 2918 37067
*end

*summarise_agents[agents]
year: 1989
time_step: half_M
values {d}
row-col agent_ndx age age_index length length_index weight scalar sex mature M L_inf k a b
1-1 284916 14 14 39.7196 7 0.00130628 198.397 0 1 0.074988 51.839 0.103809 4.467e-008 2.793
3-1 22793 20 20 59.7232 11 0.00408117 142.903 0 1 0.0750037 64.4384 0.0769093 4.467e-008 2.793
1-1 507058 0 0 0 0 0 198.052 0 0 0.0749923 51.8458 0.103793 4.467e-008 2.793
3-1 70000 9 9 32.1845 6 0.000725894 142.903 0 1 0.0750003 64.4302 0.0769109 4.467e-008 2.793
2-1 42657 20 20 57.5704 11 0.00368342 164.702 0 1 0.0749905 61.7837 0.0745941 4.467e-008 2.793
3-1 94319 3 3 13.2738 2 6.11702e-005 142.903 0 0 0.0749804 64.4303 0.076898 4.467e-008 2.793
3-1 87687 9 9 32.1834 6 0.000725825 142.903 0 1 0.0750004 64.4313 0.0769051 4.467e-008 2.793
3-1 33987 15 15 44.0982 8 0.00174937 142.903 0 1 0.0750059 64.4269 0.0768997 4.467e-008 2.793
2-1 89333 11 11 34.589 6 0.00088771 164.702 0 1 0.0750008 61.7858 0.0745979 4.467e-008 2.793
3-1 164665 1 1 5.1124 1 4.25799e-006 198.397 0 0 0.0749964 51.8463 0.103814 4.467e-008 2.793
1-1 33836 19 19 44.6299 8 0.00180893 198.397 0 1 0.0749885 51.8405 0.103822 4.467e-008 2.793
2-1 270706 12 12 36.5384 7 0.00103461 164.702 0 1 0.0749992 61.7828 0.0745851 4.467e-008 2.793
1-1 262899 4 4 17.6184 3 0.000134897 198.397 0 0 0.0750115 51.844 0.103817 4.467e-008 2.793
1-1 225641 5 5 20.993 4 0.000220075 198.397 0 1 0.0750011 51.8454 0.10381 4.467e-008 2.793
2-1 216981 20 20 54.1471 10 0.00310378 164.702 0 1 0.075009 61.795 0.0746213 4.467e-008 2.793
1-1 424792 1 1 5.11343 1 4.2604e-006 198.397 0 0 0.075009 51.8527 0.103822 4.467e-008 2.793
2-1 611604 11 11 35.2981 7 0.000939478 198.397 0 1 0.0750002 51.8471 0.103816 4.467e-008 2.793
