IBM
Call: ibm -s 10 
Seed: 123
Date: Tue Jun 09 20:26:13 2020
Version: 2020-06-08 03:36:26 UTC (rev. e1fb755)
Environment: machine:DESKTOP-D3MBM6L, user:Cyril, os:Windows_NT, pid:12184

*process[Fishing]
label: Fishing
print_census_info: 0
print_tag_recapture_info: 1
type: mortality_event_biomass
age_freq-chatFwest {d}
year cell 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 
1975 1-1 422.493 1032.76 633.739 1901.22 305.134 1337.89 8168.18 1971.63 258.19 187.775 375.549 305.134 1126.65 234.718 187.775 328.606 328.634 328.634 187.791 164.317 234.739 23.4739 93.8955 0 46.9478 23.4739 0 46.9478 0 164.317 
1975 Total 422 1032 633 1901 305 1337 8168 1971 258 187 375 305 1126 234 187 328 328 328 187 164 234 23 93 0 46 23 0 46 0 164 
1976 1-1 868.457 1666.5 2769.68 1408.31 3872.86 539.852 2722.73 14012.6 3309.53 399.021 328.606 469.437 281.662 1478.72 774.57 211.246 445.965 446.004 258.213 211.265 281.687 399.056 117.369 93.8955 93.8955 164.317 46.9478 46.9478 0 164.317 
1976 Total 868 1666 2769 1408 3872 539 2722 14012 3309 399 328 469 281 1478 774 211 445 446 258 211 281 399 117 93 93 164 46 46 0 164 
1977 1-1 586.796 844.985 1220.53 1830.8 774.57 2042.05 352.077 1150.12 5586.29 1126.65 140.831 70.4155 281.662 117.359 492.908 445.965 140.831 70.4155 258.213 117.369 117.369 93.8955 117.369 46.9478 70.4217 46.9478 0 70.4217 23.4739 140.843 
1977 Total 586 844 1220 1830 774 2042 352 1150 5586 1126 140 70 281 117 492 445 140 70 258 117 117 93 117 46 70 46 0 70 23 140 
1978 1-1 211.246 352.077 610.267 844.985 704.155 328.606 657.211 70.4155 281.662 1736.91 305.134 93.8873 23.4718 93.8873 46.9436 234.718 46.9436 23.4718 117.359 23.4739 93.8955 46.9478 23.4739 23.4739 0 0 0 0 23.4739 93.8955 
1978 Total 211 352 610 844 704 328 657 70 281 1736 305 93 23 93 46 234 46 23 117 23 93 46 23 23 0 0 0 0 23 93 
1979 1-1 633.739 798.042 1830.8 3473.83 3426.89 2957.45 751.098 2112.46 352.077 1126.65 5163.8 1267.48 140.831 140.831 281.662 187.775 563.324 140.831 70.4155 117.359 211.265 46.9478 117.369 93.8955 93.8955 117.369 70.4217 70.4217 0 93.8955 
1979 Total 633 798 1830 3473 3426 2957 751 2112 352 1126 5163 1267 140 140 281 187 563 140 70 117 211 46 117 93 93 117 70 70 0 93 
1980 1-1 3051.34 5633.24 10773.5 13731 16923.1 16289.4 12416.6 4037.16 7135.42 1290.95 4037.16 19246.9 4717.84 868.457 469.437 798.042 774.57 2042.05 445.965 328.606 704.155 469.478 446.004 469.478 305.16 187.791 187.791 258.213 164.317 516.425 
1980 Total 3051 5633 10773 13730 16923 16289 12416 4037 7135 1290 4037 19246 4717 868 469 798 774 2042 445 328 704 469 446 469 305 187 187 258 164 516 
1981 1-1 5257.69 10773.5 19317.3 27579.7 30701.6 30560.8 25960.1 19810.3 5234.22 10961.3 1877.74 7111.95 29293.2 6877.23 868.457 680.683 1361.37 844.985 3755.5 821.514 328.606 1032.76 727.69 892.007 751.164 539.899 305.16 446.004 187.791 845.06 
1981 Total 5257 10773 19317 27579 30701 30560 25960 19810 5234 10961 1877 7111 29293 6877 868 680 1361 844 3755 821 328 1032 727 892 751 539 305 446 187 845 
1982 1-1 2488.01 4694.37 7182.37 11149.1 13754.4 13331.9 10327.6 9224.4 6736.4 1713.44 3450.36 798.042 2135.94 9928.55 2699.26 305.134 258.19 586.796 258.19 1267.48 492.908 93.8873 563.324 140.843 211.265 164.317 258.213 70.4217 117.369 657.269 
1982 Total 2488 4694 7182 11149 13754 13331 10327 9224 6736 1713 3450 798 2135 9928 2699 305 258 586 258 1267 492 93 563 140 211 164 258 70 117 657 
1983 1-1 1197.06 1713.44 3426.89 4201.46 5046.44 4037.16 4037.16 3732.03 2769.68 2464.54 492.908 1290.95 211.246 586.796 3591.19 844.985 93.8873 23.4718 70.4155 117.359 328.606 70.4155 117.359 117.359 164.317 23.4739 70.4217 46.9478 93.8955 93.8955 
1983 Total 1197 1713 3426 4201 5046 4037 4037 3732 2769 2464 492 1290 211 586 3591 844 93 23 70 117 328 70 117 117 164 23 70 46 93 93 
1984 1-1 751.098 2534.96 5022.97 5985.31 7323.2 7205.84 6431.27 5445.46 4154.52 3732.03 2558.43 492.908 1525.67 164.303 704.155 3497.31 915.401 117.359 70.4155 93.8873 70.4155 516.38 46.9436 70.4155 187.775 46.9478 70.4217 93.8955 117.369 187.791 
1984 Total 751 2534 5022 5985 7323 7205 6431 5445 4154 3732 2558 492 1525 164 704 3497 915 117 70 93 70 516 46 70 187 46 70 93 117 187 
1985 1-1 657.211 1032.76 3919.8 6173.08 7323.2 6877.23 6196.56 5515.88 4717.84 3239.12 2933.98 1924.69 492.908 1337.89 140.831 962.344 2746.21 821.514 93.8873 70.4155 93.8873 46.9436 445.965 70.4155 23.4718 117.359 117.369 164.317 140.843 305.16 
1985 Total 657 1032 3919 6173 7323 6877 6196 5515 4717 3239 2933 1924 492 1337 140 962 2746 821 93 70 93 46 445 70 23 117 117 164 140 305 
1986 1-1 633.739 1854.27 2675.79 7370.14 8473.31 7557.91 7956.93 6830.29 6008.78 4694.37 3778.97 2887.04 1971.63 610.267 1220.53 258.19 633.739 2957.45 633.739 140.831 70.4155 46.9436 46.9436 281.662 70.4155 0 93.8873 46.9478 23.4739 305.16 
1986 Total 633 1854 2675 7370 8473 7557 7956 6830 6008 4694 3778 2887 1971 610 1220 258 633 2957 633 140 70 46 46 281 70 0 93 46 23 305 
1987 1-1 1267.48 2793.15 4060.63 5069.92 11524.6 11219.5 10585.8 8778.44 7839.57 6454.74 5375.05 3520.78 3802.44 2511.49 633.739 1408.31 211.246 516.38 3168.7 798.042 187.775 187.775 211.246 46.9436 258.19 93.8873 70.4155 140.831 140.843 234.739 
1987 Total 1267 2793 4060 5069 11524 11219 10585 8778 7839 6454 5375 3520 3802 2511 633 1408 211 516 3168 798 187 187 211 46 258 93 70 140 140 234 
1988 1-1 1384.84 1643.03 4107.58 5445.46 5867.95 12299.2 11008.3 9881.61 7041.54 6055.73 5328.1 4389.24 3708.55 2488.01 2042.05 610.267 1032.76 305.134 399.021 2206.35 727.626 70.4155 23.4718 187.775 164.303 234.718 93.8873 23.4718 93.8873 539.899 
1988 Total 1384 1643 4107 5445 5867 12299 11008 9881 7041 6055 5328 4389 3708 2488 2042 610 1032 305 399 2206 727 70 23 187 164 234 93 23 93 539 
1989 1-1 1361.37 2441.07 3168.7 6384.33 6736.4 6384.33 10398 9646.89 6971.12 6126.14 6196.56 4248.41 3661.61 2511.49 2417.6 2088.99 422.493 891.929 140.831 680.683 2229.82 539.852 70.4155 46.9436 46.9436 46.9436 328.606 140.831 23.4718 375.576 
1989 Total 1361 2441 3168 6384 6736 6384 10397 9646 6971 6126 6196 4248 3661 2511 2417 2088 422 891 140 680 2229 539 70 46 46 46 328 140 23 375 
1990 1-1 1572.61 2182.88 3778.97 4647.43 6313.91 5938.37 4670.9 7370.14 6665.99 4670.9 4248.41 3778.97 3262.59 2628.85 1760.39 1596.08 1220.53 305.134 727.626 46.9436 422.493 1408.31 164.303 70.4155 70.4155 117.359 23.4718 164.303 70.4155 305.15 
1990 Total 1572 2182 3778 4647 6313 5938 4670 7370 6665 4670 4248 3778 3262 2628 1760 1596 1220 305 727 46 422 1408 164 70 70 117 23 164 70 305 
1991 1-1 2746.21 3520.78 4201.46 8191.65 6266.97 8989.69 6384.33 5351.58 9153.99 7909.99 5867.95 4811.73 4154.52 3309.53 2370.65 2159.41 1619.55 1220.53 328.606 798.042 23.4718 305.134 1901.22 352.077 70.4155 0 23.4718 140.831 117.359 680.732 
1991 Total 2746 3520 4201 8191 6266 8989 6384 5351 9153 7909 5867 4811 4154 3309 2370 2159 1619 1220 328 798 23 305 1901 352 70 0 23 140 117 680 
1992 1-1 3966.75 10092.9 12792.1 10890.9 16547.6 10820.5 13777.9 10679.6 8590.67 13073.8 10304.1 9435.65 7698.74 5421.99 5515.88 3872.86 3074.81 2628.85 2018.58 469.437 1009.29 117.359 516.38 2300.24 610.267 93.8873 70.4155 211.246 70.4155 1126.7 
1992 Total 3966 10092 12792 10890 16547 10820 13777 10679 8590 13073 10304 9435 7698 5421 5515 3872 3074 2628 2018 469 1009 117 516 2300 610 93 70 211 70 1126 
1993 1-1 3379.95 8027.35 16735.4 16477.2 13097.2 14364.7 9623.42 10398 7698.74 6149.61 10867.4 8496.78 7417.08 5774.07 4201.46 4013.69 2746.21 2394.13 1877.74 1525.67 399.021 657.211 117.359 492.908 1971.63 375.549 140.831 70.4155 140.831 586.822 
1993 Total 3379 8027 16735 16477 13097 14364 9623 10397 7698 6149 10867 8496 7417 5774 4201 4013 2746 2394 1877 1525 399 657 117 492 1971 375 140 70 140 586 
1994 1-1 1736.91 3239.12 7229.31 12745.2 10351 7346.67 7370.14 4811.73 5421.99 3661.61 2675.79 5116.86 3403.42 3356.48 2511.49 2206.35 1736.91 1337.89 1525.67 633.739 539.852 117.359 516.38 46.9436 211.246 868.457 140.831 46.9436 23.4718 445.977 
1994 Total 1736 3239 7229 12745 10351 7346 7370 4811 5421 3661 2675 5116 3403 3356 2511 2206 1736 1337 1525 633 539 117 516 46 211 868 140 46 23 445 
1995 1-1 2534.96 5844.48 10398 17345.6 27274.6 18401.9 10609.2 10750.1 6454.74 6079.2 5375.05 4084.1 5492.41 4483.12 3708.55 3403.42 2675.79 2065.52 1689.97 1478.72 1290.95 516.38 305.134 680.683 70.4155 305.134 1032.76 352.077 23.4718 563.334 
1995 Total 2534 5844 10397 17345 27274 18401 10609 10750 6454 6079 5375 4084 5492 4483 3708 3403 2675 2065 1689 1478 1290 516 305 680 70 305 1032 352 23 563 
1996 1-1 3426.89 10186.7 23096.4 37743.4 51498.4 64244 38283.3 21124.7 19059.1 9998.97 12158.4 7745.69 6619.05 10210.2 8191.65 6313.91 6079.2 4717.84 3732.03 2887.04 2581.9 2229.82 1197.06 399.021 727.626 140.831 352.077 1995.1 328.606 798.06 
1996 Total 3426 10186 23096 37743 51498 64244 38283 21124 19059 9998 12158 7745 6619 10210 8191 6313 6079 4717 3732 2887 2581 2229 1197 399 727 140 352 1995 328 798 
1997 1-1 3638.14 7863.05 21429.9 38518 46780.4 56427.6 63445.9 34386.8 17510 15843.4 9341.76 9060.1 6407.8 5586.29 8309.01 6806.82 5586.29 5468.93 4295.35 3309.53 3051.34 1948.16 1619.55 1126.65 164.303 680.683 70.4155 399.021 1877.74 1244.04 
1997 Total 3638 7863 21429 38517 46780 56427 63445 34386 17509 15843 9341 9060 6407 5586 8309 6806 5586 5468 4295 3309 3051 1948 1619 1126 164 680 70 399 1877 1244 
1998 1-1 2652.32 7886.52 14411.6 31734.4 45489.4 46193.5 46334.4 51287.1 26687.8 14012.6 13355.4 7229.31 7510.97 4929.09 4342.29 6783.35 5281.16 3990.22 3309.53 2863.56 2605.37 2018.58 1666.5 1408.31 1032.76 211.246 375.549 93.8873 352.077 2089 
1998 Total 2652 7886 14411 31734 45489 46193 46334 51287 26687 14012 13355 7229 7510 4929 4342 6783 5281 3990 3309 2863 2605 2018 1666 1408 1032 211 375 93 352 2089 
1999 1-1 4459.65 4436.18 12158.4 18965.3 31171 38588.4 32016.1 34504.2 35020.6 16594.5 8520.25 7816.1 4506.6 4600.48 3919.8 3121.76 3990.22 3732.03 3027.87 2558.43 2065.52 1760.39 1549.14 1009.29 891.929 798.042 93.8873 375.549 46.9436 1783.87 
1999 Total 4459 4436 12158 18965 31171 38588 32016 34504 35020 16594 8520 7816 4506 4600 3919 3121 3990 3732 3027 2558 2065 1760 1549 1009 891 798 93 375 46 1783 
2000 1-1 2699.26 8895.8 8590.67 18824.4 21711.6 33823.4 34856.2 30936.3 26593.9 26922.5 15350.5 7510.97 7065.01 3379.95 3685.08 2910.51 1643.03 3450.36 2933.98 2042.05 1760.39 2042.05 1197.06 985.816 915.401 586.796 422.493 46.9436 352.077 1619.57 
2000 Total 2699 8895 8590 18824 21711 33823 34856 30936 26593 26922 15350 7510 7065 3379 3685 2910 1643 3450 2933 2042 1760 2042 1197 985 915 586 422 46 352 1619 
2001 1-1 4459.65 6032.25 16383.3 14435.1 25396.8 25960.1 33283.6 31804.8 26100.9 22932.1 24903.8 12698.2 6055.73 5351.58 3051.34 3074.81 2323.71 2253.29 2441.07 2769.68 1971.63 1854.27 1314.42 1009.29 938.873 727.626 492.908 680.683 93.8873 1244.01 
2001 Total 4459 6032 16383 14435 25396 25960 33283 31804 26100 22932 24903 12698 6055 5351 3051 3074 2323 2253 2441 2769 1971 1854 1314 1009 938 727 492 680 93 1244 
2002 1-1 5468.93 3614.67 4318.82 9200.93 6806.82 9975.5 9060.1 11172.6 9811.2 8449.84 7769.16 7088.48 3520.78 2018.58 1948.16 1079.7 1126.65 915.401 657.211 798.042 821.514 610.267 610.267 375.549 281.662 211.246 234.718 140.831 46.9436 445.971 
2002 Total 5468 3614 4318 9200 6806 9975 9060 11172 9811 8449 7769 7088 3520 2018 1948 1079 1126 915 657 798 821 610 610 375 281 211 234 140 46 445 
2003 1-1 3802.44 12393.1 7346.67 7346.67 13191.1 7557.91 9975.5 8285.54 9952.03 9365.23 8191.65 7041.54 6595.57 3473.83 1666.5 1619.55 844.985 492.908 1032.76 610.267 774.57 469.437 610.267 445.965 422.493 445.965 211.246 164.303 93.8873 539.856 
2003 Total 3802 12393 7346 7346 13191 7557 9975 8285 9952 9365 8191 7041 6595 3473 1666 1619 844 492 1032 610 774 469 610 445 422 445 211 164 93 539 
2004 1-1 3708.55 8402.89 28307.4 15186.2 12651.3 19270.4 10961.3 12111.4 9435.65 11900.2 10163.3 8426.37 7675.27 7675.27 3849.39 1783.86 1783.86 985.816 985.816 657.211 539.852 821.514 844.985 633.739 305.134 633.739 305.134 258.19 93.8873 657.213 
2004 Total 3708 8402 28307 15186 12651 19270 10961 12111 9435 11900 10163 8426 7675 7675 3849 1783 1783 985 985 657 539 821 844 633 305 633 305 258 93 657 
2005 1-1 6924.18 29950.5 64220.5 165441 65535 47672.3 63258.2 33471.4 35865.6 28237 32978.4 30912.8 24246.6 22556.6 22415.7 11078.7 5633.24 5821.01 2933.98 3027.87 1995.1 1689.97 2417.6 1971.63 1643.03 1408.31 1173.59 985.816 727.626 2793.16 
2005 Total 6924 29950 64220 165441 65535 47672 63258 33471 35865 28236 32978 30912 24246 22556 22415 11078 5633 5821 2933 3027 1995 1689 2417 1971 1643 1408 1173 985 727 2793 
2006 1-1 798.042 938.873 3051.34 6830.29 13965.7 3708.55 3098.28 3497.31 1596.08 2042.05 1220.53 1877.74 2159.41 1455.25 1032.76 1126.65 844.985 258.19 281.662 187.775 117.359 164.303 70.4155 164.303 46.9436 117.359 46.9436 70.4155 23.4718 211.246 
2006 Total 798 938 3051 6830 13965 3708 3098 3497 1596 2042 1220 1877 2159 1455 1032 1126 844 258 281 187 117 164 70 164 46 117 46 70 23 211 
2007 1-1 1244.01 2159.41 2229.82 7135.42 11501.2 18401.9 5750.59 3239.12 4177.99 2159.41 2722.73 1901.22 1924.69 1502.2 1220.53 1666.5 1408.31 633.739 328.606 328.606 258.19 140.831 93.8873 117.359 117.359 117.359 211.246 117.359 46.9436 305.134 
2007 Total 1244 2159 2229 7135 11501 18401 5750 3239 4177 2159 2722 1901 1924 1502 1220 1666 1408 633 328 328 258 140 93 117 117 117 211 117 46 305 
2008 1-1 1197.06 2206.35 3896.33 3286.06 9013.16 9834.67 16970.1 4882.14 2558.43 2816.62 1337.89 1549.14 1525.67 1361.37 1596.08 1267.48 891.929 891.929 633.739 187.775 187.775 211.246 0 93.8873 46.9436 70.4155 46.9436 93.8873 117.359 211.248 
2008 Total 1197 2206 3896 3286 9013 9834 16970 4882 2558 2816 1337 1549 1525 1361 1596 1267 891 891 633 187 187 211 0 93 46 70 46 93 117 211 
2009 1-1 6501.69 8989.69 19082.6 23612.8 16852.7 35795.2 39245.6 57037.9 14317.8 9412.18 9952.03 5680.18 5492.41 3755.5 4647.43 4483.12 2910.51 3074.81 2980.92 2042.05 727.626 844.985 422.493 305.134 211.246 258.19 422.493 375.549 258.19 1197.06 
2009 Total 6501 8989 19082 23612 16852 35795 39245 57037 14317 9412 9952 5680 5492 3755 4647 4483 2910 3074 2980 2042 727 844 422 305 211 258 422 375 258 1197 
2010 1-1 1995.1 2980.92 3309.53 6290.44 5961.84 3685.08 6877.23 6853.76 9529.54 2793.15 1337.89 1830.8 586.796 1267.48 610.267 1009.29 727.626 751.098 586.796 727.626 281.662 140.831 211.246 70.4155 46.9436 46.9436 46.9436 70.4155 23.4718 117.359 
2010 Total 1995 2980 3309 6290 5961 3685 6877 6853 9529 2793 1337 1830 586 1267 610 1009 727 751 586 727 281 140 211 70 46 46 46 70 23 117 
2011 1-1 10585.8 16289.4 17674.3 18965.3 26687.8 20866.5 11243 20491 20138.9 29246.3 6806.82 4553.54 5187.27 2722.73 2441.07 1924.69 2300.24 2347.18 1572.61 1643.03 1314.42 868.457 610.267 469.437 23.4718 187.775 70.4155 164.303 234.718 798.042 
2011 Total 10585 16289 17674 18965 26687 20866 11242 20490 20138 29246 6806 4553 5187 2722 2441 1924 2300 2347 1572 1643 1314 868 610 469 23 187 70 164 234 798 
2012 1-1 586.796 1783.86 2534.96 2159.41 1689.97 2088.99 1478.72 798.042 1150.12 1408.31 2276.77 492.908 258.19 305.134 164.303 93.8873 211.246 211.246 70.4155 93.8873 140.831 117.359 23.4718 46.9436 23.4718 0 0 23.4718 0 117.359 
2012 Total 586 1783 2534 2159 1689 2088 1478 798 1150 1408 2276 492 258 305 164 93 211 211 70 93 140 117 23 46 23 0 0 23 0 117 
2013 1-1 938.873 2722.73 9787.72 10914.4 7956.93 5938.37 5304.63 4483.12 1854.27 3262.59 3215.64 4811.73 962.344 492.908 704.155 305.134 399.021 352.077 328.606 375.549 305.134 164.303 117.359 46.9436 70.4155 23.4718 46.9436 23.4718 23.4718 93.8873 
2013 Total 938 2722 9787 10914 7956 5938 5304 4483 1854 3262 3215 4811 962 492 704 305 399 352 328 375 305 164 117 46 70 23 46 23 23 93 
2014 1-1 962.344 328.606 1267.48 3825.91 3520.78 1924.69 1244.01 1220.53 938.873 422.493 774.57 915.401 915.401 281.662 117.359 140.831 93.8873 46.9436 70.4155 140.831 46.9436 70.4155 117.359 93.8873 23.4718 23.4718 0 0 23.4718 46.9436 
2014 Total 962 328 1267 3825 3520 1924 1244 1220 938 422 774 915 915 281 117 140 93 46 70 140 46 70 117 93 23 23 0 0 23 46 
