IBM
Call: ibm -r -g 4213 
Seed: 123
Date: Fri Nov 02 10:17:32 2018
Version: 2018-11-01 09:04:42 UTC (rev. aebc669)
Environment: machine:DESKTOP-D3MBM6L, user:Dell User, os:Windows_NT, pid:8288

*initialisation_partition[init_1]
ewuilibrium_shortcut: 1969
values {d}
row-col 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
1-1 694 581 531 439 373 325 269 261 210 189 172 133 106 98 76 83 57 67 49 36 251
1-2 721 591 516 446 378 317 307 244 205 180 155 127 117 82 81 74 80 54 49 37 239
1-3 700 632 540 448 360 313 293 239 207 205 146 128 113 86 83 70 64 49 41 51 232
1-4 700 600 511 410 388 381 263 252 189 189 160 128 114 107 89 72 64 48 40 40 255
1-5 671 638 488 446 394 350 282 219 198 214 164 144 102 100 82 66 50 52 57 33 250
1-6 710 596 510 423 371 306 270 230 200 185 155 154 124 106 93 81 67 60 54 43 262
1-7 684 574 512 441 404 327 279 247 215 165 174 135 129 87 85 62 72 68 48 44 248
1-8 714 587 525 451 380 332 260 252 229 177 153 131 119 98 71 67 63 41 47 41 262
1-9 698 565 511 436 385 320 278 287 213 168 150 138 143 81 94 85 48 59 59 37 245
1-10 729 561 509 452 363 321 282 242 214 196 157 140 108 104 89 58 78 52 39 41 265
2-1 713 591 494 423 377 350 291 234 221 171 155 145 117 105 71 73 73 51 49 41 255
2-2 698 625 518 394 378 322 251 257 246 169 154 138 118 98 87 77 69 47 38 36 280
2-3 660 617 525 452 394 350 276 232 200 173 137 132 108 96 88 80 70 63 49 51 247
2-4 727 609 525 426 397 324 301 232 217 155 150 128 111 75 77 76 71 51 44 45 259
2-5 696 621 514 416 403 311 296 266 219 183 163 127 94 94 70 67 67 48 45 40 260
2-6 687 578 514 426 373 335 268 264 213 168 153 142 128 106 87 71 74 49 42 37 285
2-7 739 591 507 451 383 332 283 252 223 139 149 120 131 104 86 70 77 49 50 40 224
2-8 681 582 525 465 385 353 290 229 204 168 160 131 117 106 66 64 65 59 41 38 271
2-9 675 570 528 455 370 335 319 265 205 155 167 144 112 131 80 84 49 44 38 45 229
2-10 703 551 515 435 352 359 304 222 208 176 173 159 111 90 83 72 66 66 58 39 258
3-1 688 600 499 428 376 347 298 266 236 166 143 141 112 89 70 92 62 55 51 32 249
3-2 703 574 497 479 385 325 292 250 214 166 159 142 114 98 71 70 69 54 36 48 254
3-3 687 630 534 464 348 335 272 235 216 195 153 143 111 83 78 69 63 52 56 45 231
3-4 710 599 532 436 362 308 281 247 211 182 165 151 115 96 88 62 65 60 41 40 249
3-5 717 607 496 413 380 352 294 263 208 191 155 111 124 109 82 60 48 58 56 34 242
3-6 745 596 500 438 377 316 284 251 237 184 158 116 118 126 84 67 69 55 37 33 209
3-7 747 601 476 430 386 336 280 241 188 187 172 132 122 106 71 79 61 50 39 33 263
3-8 699 622 514 448 374 334 253 237 207 173 146 125 122 96 93 72 66 67 54 44 254
