IBM
Call: ibm -r -g 4213 
Seed: 123
Date: Fri Nov 02 11:10:33 2018
Version: 2018-11-01 09:04:42 UTC (rev. aebc669)
Environment: machine:DESKTOP-D3MBM6L, user:Dell User, os:Windows_NT, pid:3492

*initialisation_partition[init_1]
ewuilibrium_shortcut: 1949
values {d}
row-col 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
1-1 1394 1220 1010 889 719 641 595 485 416 380 289 281 252 188 163 150 147 112 101 84 484
1-2 1405 1219 1010 847 729 744 546 488 415 350 338 261 227 213 169 142 128 87 78 96 508
1-3 1383 1182 1050 869 738 618 537 497 391 352 323 290 232 195 181 167 139 130 105 80 541
1-4 1366 1210 1000 893 782 691 569 486 442 337 292 261 244 208 150 163 128 127 85 75 491
1-5 1418 1176 1012 905 757 637 571 467 436 369 337 280 225 195 168 136 138 109 85 77 502
1-6 1365 1223 1020 907 749 663 585 488 410 396 291 271 232 200 158 138 137 106 93 67 501
1-7 1402 1238 1002 883 723 640 564 502 424 378 299 281 234 184 190 150 127 110 89 69 511
1-8 1365 1176 986 892 782 658 563 533 431 347 297 289 226 186 172 135 128 114 92 70 558
1-9 1355 1172 1042 907 785 704 562 484 426 350 311 271 233 181 152 138 116 119 79 79 534
1-10 1322 1212 1020 872 752 656 548 505 434 373 317 270 258 226 152 148 130 125 84 101 495
2-1 1348 1214 1055 881 719 705 595 466 407 354 299 264 252 211 172 156 112 112 89 78 511
2-2 1392 1221 1061 858 744 630 583 497 417 360 324 276 218 206 176 130 125 103 87 82 510
2-3 1429 1196 1020 874 782 646 573 505 427 373 302 236 244 220 168 137 149 107 86 76 450
2-4 1410 1176 1020 881 755 656 561 510 429 342 307 259 238 190 182 136 125 126 111 83 503
2-5 1370 1176 1052 886 772 658 596 498 390 372 285 294 226 193 160 150 136 109 102 82 493
2-6 1409 1213 1004 923 794 653 577 476 404 356 308 283 209 207 165 145 124 101 87 73 489
2-7 1445 1190 996 939 754 677 574 491 419 366 279 245 249 186 161 138 110 102 106 84 489
2-8 1426 1137 1080 895 781 656 539 465 411 373 282 265 238 212 182 135 132 112 87 86 506
2-9 1425 1197 1011 931 740 661 592 452 420 338 323 244 224 209 177 141 121 104 102 79 509
2-10 1441 1261 1010 860 774 621 554 498 390 380 335 262 231 204 154 147 142 108 84 70 474
3-1 1368 1247 1062 815 763 667 577 494 394 349 312 272 203 199 178 149 131 122 98 80 520
3-2 1344 1208 1007 883 816 665 565 492 421 384 283 275 262 200 163 145 122 114 102 69 480
3-3 1431 1174 1016 899 711 655 597 473 396 361 356 267 245 197 171 157 114 131 103 84 462
3-4 1382 1178 1000 924 823 660 545 495 413 341 302 277 232 188 188 168 145 101 89 59 490
3-5 1395 1216 1015 908 719 684 543 467 415 365 327 274 247 204 149 133 119 133 109 89 489
3-6 1433 1166 1038 924 783 653 584 471 419 371 288 256 222 179 175 155 120 105 98 84 476
3-7 1454 1146 992 942 820 706 550 445 367 364 289 254 243 198 181 163 125 93 99 83 486
3-8 1408 1225 1038 920 723 634 547 508 405 364 337 239 214 187 174 152 127 114 99 84 501
3-9 1368 1188 1008 891 792 666 571 435 458 368 296 284 223 211 149 150 152 102 97 80 511
3-10 1364 1198 1063 900 730 689 553 467 413 410 283 257 199 203 162 143 120 102 109 93 542
4-1 1357 1211 1103 948 726 647 571 483 462 374 263 232 207 190 161 150 137 116 100 76 486
4-2 1428 1156 1038 881 789 661 560 458 416 385 298 282 207 182 188 155 121 124 85 94 492
4-3 1418 1207 1049 838 751 652 571 468 408 348 337 303 241 190 175 143 107 116 94 78 506
4-4 1315 1218 1024 886 774 614 544 488 446 378 334 306 246 200 175 142 139 97 85 75 514
4-5 1376 1158 1027 908 721 727 563 499 410 348 300 268 236 220 168 140 133 114 101 87 496
4-6 1360 1238 1022 885 800 656 548 494 424 349 312 279 211 200 174 147 133 93 95 88 492
4-7 1414 1180 1074 851 783 666 575 495 396 342 283 276 244 211 174 170 126 116 98 72 454
4-8 1407 1236 987 904 771 636 585 470 431 347 309 284 247 209 164 136 115 114 108 66 474
4-9 1383 1263 1013 887 747 596 552 507 429 364 319 251 261 209 147 165 127 91 89 89 511
4-10 1409 1204 1023 912 778 702 570 471 382 361 309 271 196 200 176 160 117 87 95 86 491
5-1 1400 1168 1034 822 746 671 601 518 398 366 340 241 239 181 198 159 137 100 90 100 491
5-2 1397 1163 994 861 801 639 592 484 451 344 344 260 243 192 143 151 112 118 105 83 523
5-3 1440 1181 1041 875 785 646 594 458 444 348 299 261 218 177 168 157 142 104 86 74 502
5-4 1421 1157 1030 918 742 663 616 496 433 340 294 261 215 206 164 154 134 103 84 81 488
5-5 1435 1192 1037 854 783 639 528 539 443 334 328 285 209 200 164 150 118 112 94 81 475
5-6 1385 1218 1038 875 787 662 528 488 451 367 311 268 217 186 178 153 118 98 111 67 494
5-7 1444 1228 996 891 761 626 568 493 410 332 281 284 262 190 177 137 128 127 84 79 502
5-8 1346 1231 1025 884 744 657 581 488 396 382 321 279 243 182 204 134 119 119 82 81 502
5-9 1423 1184 1067 903 763 668 547 475 400 332 303 279 251 176 147 164 136 105 76 84 517
5-10 1410 1126 984 959 783 685 527 481 437 371 299 238 246 173 167 152 127 120 105 85 525
6-1 1343 1230 1035 892 764 663 522 516 445 370 331 263 231 190 184 148 115 90 106 89 473
6-2 1396 1214 1057 876 785 633 573 446 415 354 284 254 241 209 166 156 130 114 96 78 523
6-3 1388 1244 1018 879 759 666 551 515 460 368 299 263 225 173 166 150 120 114 88 73 481
6-4 1379 1194 990 914 805 618 568 495 394 368 279 262 251 206 176 167 135 106 86 86 521
6-5 1391 1167 1046 927 767 665 576 474 426 369 326 245 231 169 153 158 122 112 86 81 509
6-6 1463 1164 988 859 787 682 597 477 426 340 328 277 202 195 168 147 134 100 103 70 493
6-7 1347 1193 1093 877 792 640 585 498 414 354 303 274 243 196 162 145 122 110 97 78 477
6-8 1388 1194 1061 882 738 674 550 515 387 322 314 299 233 201 177 125 128 105 113 95 499
6-9 1433 1166 1027 899 775 699 558 448 414 370 306 280 233 182 173 152 122 93 103 82 485
6-10 1373 1152 1050 882 776 676 575 486 441 369 310 276 219 191 151 165 131 85 98 77 517
7-1 1391 1201 1043 873 805 658 559 475 420 368 326 263 185 215 185 169 124 96 79 79 486
7-2 1396 1227 909 885 776 684 567 489 417 362 330 270 245 195 170 173 119 106 92 96 492
7-3 1408 1230 1060 879 770 633 515 483 398 376 308 262 227 212 172 134 128 115 98 86 506
7-4 1366 1234 1026 902 779 647 596 498 372 380 331 284 211 209 175 138 104 94 89 64 501
7-5 1385 1217 1028 898 762 663 548 471 441 366 319 272 217 200 165 152 131 103 91 71 500
7-6 1381 1217 1011 937 789 665 574 479 425 366 272 254 211 197 173 156 130 108 93 88 474
7-7 1467 1246 983 929 722 645 525 480 436 344 300 270 222 177 177 165 136 108 95 76 497
7-8 1403 1187 1010 891 738 696 579 478 449 332 296 258 221 200 156 154 146 104 85 88 529
7-9 1381 1149 1037 938 793 679 552 488 425 343 317 243 246 205 162 134 121 139 93 75 480
7-10 1407 1235 1044 862 750 611 562 476 447 320 325 248 258 208 184 171 133 104 69 80 506
8-1 1350 1182 1002 914 769 673 570 523 437 363 311 265 247 193 167 143 129 94 77 94 497
8-2 1387 1202 1080 874 747 611 579 502 432 344 300 272 215 195 173 158 135 119 93 102 480
8-3 1397 1209 1014 905 753 669 547 483 423 382 291 283 224 201 156 153 130 119 96 76 489
8-4 1404 1256 1028 878 749 619 560 511 426 374 316 242 211 180 178 152 138 129 99 69 481
8-5 1361 1236 1062 858 744 653 570 487 462 358 324 257 234 206 152 141 111 126 91 86 481
8-6 1459 1176 1010 883 761 662 538 473 430 396 326 260 241 192 166 155 117 95 102 62 496
8-7 1352 1142 1031 915 803 678 586 494 454 361 309 273 205 201 173 150 131 108 83 89 462
8-8 1365 1170 1049 908 779 684 554 461 398 383 312 276 234 203 147 161 128 106 87 79 516
8-9 1353 1179 1005 925 802 656 538 480 418 371 320 277 196 201 185 144 143 114 98 86 509
8-10 1353 1144 1018 951 773 667 593 506 427 366 305 227 206 231 171 135 126 104 98 97 502
9-1 1428 1215 1046 905 766 645 553 482 408 367 310 242 228 197 155 151 137 104 95 82 484
9-2 1475 1169 1021 886 770 668 563 477 413 364 312 267 228 187 168 139 121 98 96 78 500
9-3 1358 1222 1015 860 737 677 587 482 412 365 325 261 260 192 188 144 136 132 78 85 484
9-4 1426 1229 1031 898 771 637 549 461 424 336 310 274 241 223 155 151 122 113 94 74 481
9-5 1363 1241 1090 863 764 661 562 484 410 360 302 248 214 179 174 161 133 94 99 78 520
9-6 1402 1137 1029 850 762 709 544 467 435 365 310 279 224 176 188 147 138 117 88 89 544
9-7 1371 1240 985 915 792 659 566 508 391 329 324 242 245 209 171 144 122 117 98 97 475
9-8 1410 1224 1027 913 783 658 561 470 442 385 342 278 206 200 171 142 95 107 84 68 434
9-9 1461 1157 996 878 765 668 574 500 445 378 287 281 208 179 157 144 131 124 84 67 516
9-10 1360 1227 1043 875 748 665 558 499 429 394 313 252 258 213 177 144 122 91 72 81 479
10-1 1444 1231 1049 849 799 635 564 508 394 363 296 258 226 186 169 137 131 114 96 80 471
10-2 1438 1179 1094 859 722 653 552 466 453 344 309 280 199 214 203 135 116 86 108 92 498
10-3 1414 1208 1084 844 720 644 558 475 420 392 290 266 219 182 169 150 129 123 109 74 530
10-4 1362 1174 1014 902 780 665 596 498 431 344 305 274 226 190 181 141 127 112 96 81 501
10-5 1416 1262 981 879 751 626 595 472 428 405 283 271 232 179 199 137 120 96 97 78 493
10-6 1409 1151 1000 896 741 672 573 476 405 390 307 277 203 179 199 140 132 110 99 103 538
10-7 1384 1189 1024 837 751 660 561 494 421 406 289 302 210 177 181 130 128 128 108 84 536
10-8 1386 1188 1030 915 720 639 564 493 418 361 323 279 245 220 159 146 105 125 100 84 500
10-9 1337 1213 1038 858 748 696 532 474 458 393 369 256 234 185 175 138 137 104 98 89 468
10-10 1383 1156 1112 833 778 661 585 509 398 381 340 282 214 200 169 125 112 98 82 72 510
*end

*initialisation_partition[init_2]
year: 1989
values {d}
row-col 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
1-1 3276 2940 2533 2232 1890 1712 1426 1132 1044 908 742 651 589 531 431 368 328 281 220 197 1257
1-2 3123 2827 2458 2098 1873 1612 1353 1143 1032 822 771 656 511 451 392 331 296 254 224 207 1179
1-3 2502 2221 1992 1742 1450 1246 1085 963 820 687 590 503 441 399 317 292 242 213 176 155 947
1-4 996 843 768 626 570 483 420 342 290 249 225 204 174 131 128 111 114 86 81 66 374
1-5 850 687 637 574 489 447 389 315 299 224 206 177 152 121 107 77 76 64 63 48 320
1-6 227 234 189 161 143 132 108 90 72 64 47 53 51 28 41 25 18 32 19 12 93
1-7 135 143 115 110 84 56 54 48 49 43 28 30 23 21 23 18 10 13 15 6 59
1-8 112 91 90 71 55 47 37 49 30 20 24 17 19 14 12 12 10 7 6 11 50
1-9 93 72 56 63 55 30 27 29 28 16 20 18 14 13 12 6 4 7 6 2 20
1-10 55 41 46 32 31 24 20 14 12 23 18 11 8 6 4 6 7 6 3 2 26
2-1 2368 2089 1847 1547 1326 1172 984 834 715 614 505 449 391 374 289 266 235 191 156 147 866
2-2 4880 4346 3521 3175 2752 2437 2029 1641 1505 1320 1081 982 853 656 605 529 480 373 369 314 1765
2-3 2545 2165 1966 1701 1458 1190 1032 882 863 665 574 529 423 369 337 246 265 201 174 143 975
2-4 1584 1316 1122 977 870 718 665 518 443 397 331 299 268 227 209 164 134 128 121 86 600
2-5 1261 1111 963 831 704 661 523 457 376 324 311 252 204 172 146 123 111 100 101 75 460
2-6 426 347 327 253 226 214 189 139 124 114 92 80 63 60 52 41 37 30 32 24 167
2-7 217 212 161 158 125 122 104 75 65 64 62 42 37 24 27 11 18 18 10 13 87
2-8 138 116 108 102 61 67 56 50 35 40 33 28 19 17 19 20 14 8 14 10 57
2-9 87 65 66 56 47 56 29 35 34 23 19 20 14 18 9 8 11 10 11 1 36
2-10 82 58 40 37 21 36 23 23 17 15 6 11 6 6 8 10 5 1 4 4 24
3-1 2534 2102 1937 1606 1391 1176 1051 872 762 666 565 511 412 321 279 255 195 197 157 124 898
