IBM
Call: ibm -r 
Seed: 123
Date: Tue Jun 08 13:56:50 2021
Version: 2021-06-07 23:36:14 UTC (rev. 593e0ff)
Environment: machine:DESKTOP-D3MBM6L, user:Cyril, os:Windows_NT, pid:18240

*initialisation_partition[init_1]
equilibrium_shortcut: 1929
values {d_r}
row-col 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
1-1 258147 233077 214862 178628 155517 117323 107530 104004 78345.9 74820.3 58171.7 50141.3 45244.7 37997.8 30946.7 28596.3 26441.8 22524.5 20957.6 14885.8 100479
1-2 276167 238365 203894 185287 146311 124766 114385 88531 79129.4 67769.1 64047.6 51316.5 43286.1 39956.4 25266.6 31338.4 24091.4 24091.4 18215.5 13318.8 99107.8
1-3 275384 231902 201544 179999 146703 131818 108118 97149.1 84417.8 76191.4 58563.4 51512.4 41523.3 41131.6 32121.9 27421.1 24287.3 18998.9 16844.4 17627.9 95386.3
1-4 274404 231118 212512 163743 151991 121633 112623 91664.9 90489.7 74820.3 59151 49553.7 49945.5 40152.3 29183.9 25266.6 20370 23308 20174.1 16844.4 99695.4
1-5 276951 227005 202719 174711 145724 139652 107138 104004 77170.7 69923.6 53862.7 52687.5 45440.6 37997.8 30555 28008.7 25462.5 20957.6 19586.5 19390.7 99695.4
1-6 273817 229160 191555 177061 143765 135931 110860 103809 85788.8 72274 58367.6 52491.7 46224.1 40739.9 28792.2 32513.6 27421.1 22524.5 17432 14298.2 93819.4
1-7 275384 231510 199389 177061 155321 130447 112819 90489.7 84221.9 74232.7 66202.1 46615.8 41719.2 41915.1 28792.2 30163.2 25854.2 17823.7 15865.1 14298.2 98520.2
1-8 283806 235231 202915 172556 151012 124962 114190 97345 81088 72861.6 61697.3 49553.7 44461.3 38977.1 31730.2 24483.2 22916.2 22916.2 18215.5 15081.6 92644.2
1-9 270878 229551 204286 175494 149053 130447 118107 95973.9 83438.4 60717.9 61501.4 50728.9 47791 38193.7 36626.8 26833.5 24287.3 23503.8 18411.3 16648.5 96169.8
1-10 265394 234056 199389 175103 154537 128292 123004 98716.1 85397.1 66593.9 55821.4 49357.9 47007.5 34080.5 36822.6 31926 23699.7 20957.6 14885.8 15865.1 97736.7
2-1 269899 239149 197235 163939 152970 124375 106942 102438 84026 70707.1 59151 56996.5 45244.7 38585.4 30163.2 27225.3 26637.7 24483.2 16452.7 14102.3 107922
2-2 260889 239540 208986 178432 158846 121241 106942 93035.9 85005.4 68160.8 60522.1 48378.6 45636.5 39173 35255.7 29967.4 24679 22132.8 21741 14102.3 95973.9
