year	BT	BPT	JPL	RECO	RECI
1931	168	0	0	45	15
1932	190.8	0	0	47	16
1933	255.6	0	0	50	17
1934	228	0	0	52	17
1935	129.6	0	0	54	18
1936	123.6	0	0	56	19
1937	102	0	0	59	20
1938	106.8	0	0	61	20
1939	85.2	0	0	63	21
1940	91.2	0	0	65	22
1941	74.4	0	0	68	23
1942	68.4	0	0	70	23
1943	90	0	0	72	24
1944	82.8	0	0	75	25
1945	148.8	0	0	77	26
1946	292.8	0	0	79	26
1947	301.2	0	0	81	27
1948	258	0	0	84	28
1949	332.4	0	0	86	29
1950	381.6	0	0	88	29
1951	436.8	0	0	91	30
1952	433.2	0	0	93	31
1953	1348.8	0	0	95	32
1954	1311.6	0	0	97	32
1955	1442.4	0	0	100	33
1956	1395.6	0	0	102	34
1957	1766.4	0	0	104	35
1958	1353.6	0	0	106	35
1959	1336.8	0	0	109	36
1960	1442.4	0	0	111	37
1961	1413.6	0	0	113	38
1962	1622.4	0	0	116	39
1963	1747.2	0	0	118	39
1964	1531.2	0	0	120	40
1965	1418.4	0	2000	122	41
1966	2197.2	0	2000	125	42
1967	1772.4	0	2000	127	42
1968	1789.2	0	2000	129	43
1969	1612.8	0	2000	131	44
1970	1905.6	0	2000	134	45
1971	2222.4	0	2000	136	45
1972	1176.6	1176.6	2000	138	46
1973	1822.8	1822.8	2000	141	47
1974	2604	2604	2000	143	48
1975	2530.2	2530.2	749	145	48
1976	2556.5	3834.7	1127	147	49
1977	1418.8	3310.4	1104	150	50
1978	1041.6	4166.4	0	152	51
1979	831.4	3325.4	0	154	51
1980	794.2	3176.6	0	156	52
1981	756.7	3026.9	0	159	53
1982	632.6	2530.6	0	161	54
1983	435.4	1741.4	0	163	54
1984	414	1656	0	166	55
1985	371	1484.2	0	168	56
1986	438.7	1754.9	0	170	57
1987	294.7	687.6	0	172	57
1988	616.4	924.7	0	175	58
1989	839.9	839.9	0	177	59
1990	1010.2	695.9	0	179	60
1991	1091.4	733.5	0	179	60
1992	1100.6	504.3	0	179	60
1993	1382.1	315.2	0	179	60
1994	1162.5	533.7	0	179	60
1995	970.8	608.8	0	179	60
1996	1128.3	585.5	0	179	60
1997	1484.8	289.5	0	173	58
1998	1505.1	242.8	0	173	58
1999	1314.8	484.8	0	181	60
2000	1241.3	523.1	0	178	59
2001	1235.1	559	0	186	62
2002	1389.2	345.5	0	188	63
2003	1413.6	300.2	0	190	63
2004	1592.1	241.6	0	191	64
2005	1255.2	574.1	0	191	64
2006	1154.8	422.6	0	191	64
2007	1294.6	165.1	0	195	65
2008	1230.8	203.6	0	227	76
2009	1331.6	147.9	0	281	94
2010	1223	185	0	336	112
2011	1289.1	155.2	0	400	133
2012	1487.6	8.4	0	473	158
2013	1464.1	0	0	518	173
2014	1402.5	0	0	556	185
2015	1399.2	0	0	591	197
2016	1460.8	0	0	620	207
2017	1467.4	0	0	647	216
2018	1415.7	0	0	669	223
2019	1421.2	0	0	701	234
2020	1421.2	0	0	701	234
